PPO,69043.8
AD,275945.22
fundamentalist , 166624.98
DoubleExpMovingAverage,87812.49
SimpleMovingAverage,19408.86
ExpMovingAverage,-2643.889
WMA,2737.551
CoppCurve,362487.8
StochasticOscillatorK,11566.107
WilliamR,83850.17
RSI,6916.182
TimeLag,188773.48
TripleExpMovingAverage,7536.923
ROC,1377471.8
LongShort,189899.38
MACD,8032.936
Chaikin,181809.4
RAVI,22685.41
MVWAP,4763285.0
PVI,275682.7
KAMA,2877.987
ZLEMA,69211.086
HMA,4465.0225
NVI,14147.635
VWAP,9571738.0
PPO,69043.8
AD,275945.22
fundamentalist , 51895.41
DoubleExpMovingAverage,196441.66
SimpleMovingAverage,40287.15
ExpMovingAverage,589396.56
WMA,35379.914
CoppCurve,1477021.1
StochasticOscillatorK,170891.8
WilliamR,57743.906
RSI,9465.628
TimeLag,741829.4
TripleExpMovingAverage,1515899.2
ROC,1834727.6
LongShort,764538.25
MACD,1092292.9
Chaikin,697604.0
RAVI,569728.6
MVWAP,2.0024582E7
PVI,1429972.4
KAMA,25669.082
ZLEMA,665067.7
HMA,743037.1
NVI,6444.503
VWAP,1.1789796E8
PPO,91077.25
AD,984579.2
fundamentalist , 22918.627
DoubleExpMovingAverage,21888.41
SimpleMovingAverage,11717.332
ExpMovingAverage,20634.967
WMA,4287.5845
CoppCurve,27287.072
StochasticOscillatorK,26872.557
WilliamR,16809.848
RSI,11930.871
TimeLag,15548.748
TripleExpMovingAverage,18080.62
ROC,22509.049
LongShort,16024.732
MACD,18690.652
Chaikin,15100.558
RAVI,17219.594
MVWAP,14407.791
PVI,26283.254
KAMA,15674.942
ZLEMA,16663.168
HMA,19934.412
NVI,8329.349
VWAP,17040.906
PPO,18153.277
AD,16348.078
fundamentalist , 3761.7512
DoubleExpMovingAverage,3751.5977
SimpleMovingAverage,3563.6418
ExpMovingAverage,3736.5613
WMA,3578.6782
CoppCurve,3646.3418
StochasticOscillatorK,3819.2617
WilliamR,3819.2622
RSI,3841.8164
TimeLag,3683.9336
TripleExpMovingAverage,3811.7437
ROC,3691.4517
LongShort,3796.7065
MACD,3924.517
Chaikin,3593.7144
RAVI,3789.1887
MVWAP,3503.496
PVI,3774.1523
KAMA,3849.3347
ZLEMA,3744.0793
HMA,3796.707
NVI,3856.853
VWAP,3759.116
PPO,3819.2622
AD,3601.233
fundamentalist , 52742.754
TripleExpMovingAverage,31292.39
SimpleMovingAverage,25506.633
ExpMovingAverage,8697.663
DoubleExpMovingAverage,82528.03
ZLEMA,947014.4
RSI,254545.42
TimeLag,731552.56
AD,1040765.0
WilliamR,200291.78
LongShort,799033.3
KAMA,30822.84
WMA,104129.43
RAVI,163439.9
VWAP,1.06056544E8
ROC,1157747.8
NVI,4588.8804
PPO,59254.85
MACD,13131.169
CoppCurve,1637208.4
PVI,1522354.8
MVWAP,3.3859832E7
StochasticOscillatorK,34742.074
Chaikin,737444.8
HMA,3424082.8
fundamentalist , 14906.429
TripleExpMovingAverage,15710.068
SimpleMovingAverage,12745.404
ExpMovingAverage,14692.224
DoubleExpMovingAverage,15405.904
ZLEMA,14207.775
RSI,15842.409
TimeLag,14433.057
AD,16546.562
WilliamR,15674.872
LongShort,14874.885
KAMA,14748.041
WMA,5931.87
RAVI,15805.12
VWAP,15844.708
ROC,18249.52
NVI,15367.961
PPO,16587.85
MACD,17079.166
CoppCurve,24050.828
PVI,18245.959
MVWAP,13545.489
StochasticOscillatorK,24934.213
Chaikin,14037.15
HMA,16542.941
fundamentalist , 3587.4104
TripleExpMovingAverage,3600.6985
SimpleMovingAverage,3600.6987
ExpMovingAverage,3586.2957
